Cluster ID,,book,id,title
71,15,"Klaffki, Lisa / Schmunk, Stefan / Stäcker Thomas (2018): “Stand der Kulturgutdigitalisierung in Deutschland. Eine Analyse und Handlungsvorschläge des DARIAH-DE Stakeholdergremiums 'Wissenschaftliche Sammlungen'”, DARIAH-DE Working Papers 26, Göttingen, URN: urn:nbn:de:gbv:7-dariah-2018-1-3 .",ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.xml__6,DHd 2019 Book of Abstracts Hackathon
72,16,"Stäcker, Thomas (2012): “Wie schreibt man digital humanities?”, in: DHd-Blog, 19.08.2012, https://dhd-blog.org/?p=673 [letzter Zugriff 26. September 2018].",ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.xml__7,DHd 2019 Book of Abstracts Hackathon
73,17,"Stäcker, Thomas (2017): “Digital Humanities : eine Einführung / Fotis Jannidis, Hubertus Kohle, Malte Rehbein (Hg.)”, in: O-Bib. Das Offene Bibliotheksjournal 4(3): 142-148, https://doi.org/10.5282/o-bib/2017H3S142-148",ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.xml__8,DHd 2019 Book of Abstracts Hackathon
74,18,"Vogeler, Georg (2018)(ed.): DHd 2018. Kritik der digitalen Vernunft. Konferenzabstracts, Köln: Universität zu Köln 2018.",ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.xml__9,DHd 2019 Book of Abstracts Hackathon
75,19,"Afli, H., Barrault, L., & Schwenk, H. (2016). Building and using multimodal comparable corpora for machine translation. Natural Language Engineering , 22 (4), 603-625.",BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__0,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk
76,20,"Caglayan, O., Barrault, L., & Bougares, F. (2016). Multimodal attention for neural machine translation. arXiv preprint arXiv:1609.03976 .",BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__1,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk
77,21,"Caglayan, O., et al. (2016). Does multimodality help human and machine for translation and image captioning?. arXiv preprint arXiv:1605.09186 .",BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__2,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk
78,22,"Elliott, D., Frank, S., Barrault, L., Bougares, F., & Specia, L. (2017). Findings of the second shared task on multimodal machine translation and multilingual image description. arXiv preprint arXiv:1710.07177 .",BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__3,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk
79,23,"Hussein, A. (2015). The use of triangulation in social sciences research: Can qualitative and quantitative methods be combined?. Journal of comparative social work , 4 (1).",BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__4,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk
80,24,"Serpil, H., Durmuşoğlu-Köse, G., Erbek, M., & Öztürk, Y. (2016). Employing computer-assisted translation tools to achieve terminology standardization in institutional translation: Making a case for higher education. Procedia-Social and Behavioral Sciences , 231 , 76-83.",BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__5,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk
81,25,"Viehhauser, G. (2018). Digital Humanities als Geisteswissenschaften. Zur Auflösung einer Tautologie. Digital Humanities: Perspektiven der Praxis , 1 , 17.",BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__6,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk
82,26,"Blumtritt, J. and Rau, F. (2016): User-Experience von Spracharchiven: Eine Neubewertung der Interaktion von Archiv und Nutzern, in: Digital Humanities im deutschsprachigen Raum (DHd 2016), Leipzig. http://dhd2016.de/boa.pdf#page=215.",BLUMTRITT_Jonathan_Metadaten_im_Zeitalter_von_Google_Dataset.xml__0,Metadaten im Zeitalter von Google Dataset Search
83,27,"CMDI and Metadata Curation task forces of the Standing Committee on CLARIN Technical Centres (2018): CMDI Best Practices, Version 1.1.1, https://github.com/clarin-eric/cmdi-best-practices/releases.",BLUMTRITT_Jonathan_Metadaten_im_Zeitalter_von_Google_Dataset.xml__1,Metadaten im Zeitalter von Google Dataset Search
84,28,"Mache, B., & Klaffki, L. (2018): Das DARIAH-DE Repository. Elementarer Teil einer modularen Infrastruktur für geistes- und kulturwissenschaftliche Forschungsdaten, in: O-Bib. Das Offene Bibliotheksjournal / Herausgeber VDB, 5(3) 2018, 92-103. https://doi.org/10.5282/o-bib/2018H3S92-103.",BLUMTRITT_Jonathan_Metadaten_im_Zeitalter_von_Google_Dataset.xml__2,Metadaten im Zeitalter von Google Dataset Search
85,29,"Mueller, John (2008): Retiring support for OAI-PMH in Sitemaps. https://webmasters.googleblog.com/2008/04/retiring-support-for-oai-pmh-in.html.",BLUMTRITT_Jonathan_Metadaten_im_Zeitalter_von_Google_Dataset.xml__3,Metadaten im Zeitalter von Google Dataset Search
86,30,"Schaffner, J. (2009): The Metadata is the Interface: Better Description for Better Discovery of Archives and Special Collections, Synthesized from User Studies, in: Report produced by OCLC Research. https://www.oclc.org/content/dam/research/publications/library/2009/2009-06.pdf.",BLUMTRITT_Jonathan_Metadaten_im_Zeitalter_von_Google_Dataset.xml__4,Metadaten im Zeitalter von Google Dataset Search
2,31,"Brunner, Annelen (2015): Automatische Erkennung von Redewiedergabe. Ein Beitrag zur quantitativen Narratologie (=Narratologia 47). Berlin: De Gruyter.",BRUNNER_Annelen_Das_Redewiedergabe_Korpus.xml__0,"Das Redewiedergabe-Korpus 
                     Eine neue Ressource"
87,32,"Engelberg, Stefan (2015): „Quantitative Verteilungen im Wortschatz. Zu lexikologischen und lexikografischen Aspekten eines dynamischen Lexikons“, in: Eichinger, Ludwig M. (eds.): Sprachwissenschaft im Fokus. Positionsbestimmungen und Perspektiven. Jahrbuch 2014 des IDS. Tübingen: Narr 205-230.",BRUNNER_Annelen_Das_Redewiedergabe_Korpus.xml__1,"Das Redewiedergabe-Korpus 
                     Eine neue Ressource"
88,33,"Gabriel, Gottfried (2007) : „Fiktion“, in: Fricke, Harald et al. (eds.): Reallexikon der deutschen Literaturwissenschaft. Bd. 1: A-G. Berlin / New York: De Gruyter 594-598.",BRUNNER_Annelen_Das_Redewiedergabe_Korpus.xml__2,"Das Redewiedergabe-Korpus 
                     Eine neue Ressource"
89,34,"Genette, Gérard (2010): Die Erzählung. 3., durchges. und korrigierte Aufl. Paderborn: Fink.",BRUNNER_Annelen_Das_Redewiedergabe_Korpus.xml__3,"Das Redewiedergabe-Korpus 
                     Eine neue Ressource"
90,35,"Hauser, Stefan (2008): „Beobachtungen zur Redewiedergabe in der Tagespresse. Eine kontrastive Analyse “, in: Lüger, Heinz-Helmut / Lenk, Hartmut E.H. (eds.): Kontrastive Medienlinguistik. Landau: Verlag Empirische Pädagogik 271-286.",BRUNNER_Annelen_Das_Redewiedergabe_Korpus.xml__4,"Das Redewiedergabe-Korpus 
                     Eine neue Ressource"
91,36,"Krug, Markus / Tu, Ngoc Duyen Tanja / Weimer, Lukas / Reger, Isabella / Konle, Leonard / Jannidis, Fotis / Puppe, Frank (2018a): „Annotation and beyond – Using ATHEN Annotation and Text Highlighting Environment“, in: Digital Humanities im deutschsprachigen Raum – Konferenzabstracts 19-21.",BRUNNER_Annelen_Das_Redewiedergabe_Korpus.xml__5,"Das Redewiedergabe-Korpus 
                     Eine neue Ressource"
3,37,"Krug, Markus / Weimer, Lukas / Reger, Isabella / Macharowsky, Luisa / Feldhaus, Stephan / Puppe, Frank / Jannidis, Fotis (2018b): Description of a Corpus of Character References in German Novels - DROC [Deutsches ROman Corpus]. DARIAH-DE Working Papers Nr. 27, Göttingen: DARIAH-DE, 2018, URN: urn:nbn:de:gbv:7-dariah-2018-2-9.",BRUNNER_Annelen_Das_Redewiedergabe_Korpus.xml__6,"Das Redewiedergabe-Korpus 
                     Eine neue Ressource"
92,38,"Martínez, Matías / Scheffel, Michael (2016): Einführung in die Erzähltheorie. 10. Auflage. München: C.H.Beck.",BRUNNER_Annelen_Das_Redewiedergabe_Korpus.xml__7,"Das Redewiedergabe-Korpus 
                     Eine neue Ressource"
93,39,"Semino, Elena / Short, Mick (2004): Corpus stylistics. Speech, writing and thought presentation in a corpus of English writing. London / New York: Routledge.",BRUNNER_Annelen_Das_Redewiedergabe_Korpus.xml__8,"Das Redewiedergabe-Korpus 
                     Eine neue Ressource"
94,40,"Allen, G. (2000). Intertextuality. London, New York: Routledge.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__0,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
95,41,"Bamman, D., & Crane, G. (2008). The Logic and Discovery of Textual Allusion. ACL Language Technology for Cultural Heritage, (1986).",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__1,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
96,42,"Bär, D., Zesch, T., & Gurevych, I. (2012). Text Reuse Detection using a Composition of Text Similarity Measures. Proceedings of COLING 2012, 1(December), 167–184.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__2,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
97,43,"Berti, M., Büchler, M., Geßner, A., & Thomas, E. (2013). Measuring the Influence of a Work by Text Reuse. In The Digital Classicist.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__3,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
98,44,"Burghardt, M., & Wolff, C. (2015). Humanist-Computer Interaction: Herausforderungen für die Digital Humanities aus Perspektive der Medieninformatik. In Book of Abstracts Workshop “Informatik und die Digital Humanities”, Leipzig.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__4,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
99,45,"Büchler, M., Burns, P. R., Müller, M., Franzini, E., & Franzini, G. (2014). Towards a Historical Text Re-use Detection. In C. Biemann & A. Mehler (Eds.), Text Mining, Theory and Applications of Natural Language Processing. Springer International Publishing.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__5,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
100,46,"Forstall, C., Coffee, N., Buck, T., Roache, K., & Jacobson, S. (2015). Modeling the scholars: Detecting intertextuality through enhanced word-level n-gram matching. Digital Scholarship in the Humanities, 30(4), 503–515.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__6,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
101,47,"Hohl Trillini, R., & Quassdorf, S. (2010). A “key to all quotations”? A corpus-based parameter model of intertextuality. Literary and Linguistic Computing, 25(3), 269–286.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__7,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
102,48,"Klarer, M. (1999). An Introduction to Literary Studies. London, New York: Routledge.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__8,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
103,49,"Kozloff, S. (2000). Overhearing Film Dialogue. Berkeley et al.: University of California Press.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__9,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
104,50,"Malone, T. (2018). Quoting Shakespeare in Twentieth- Century Film. In J. Maxwell & K. Rumbold (Eds.), Shakespeare and Quotation (pp. 194–208). Cambridge: Cambridge University Press.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__10,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
105,51,"Maxwell, J., & Rumbold, K. (2018). Shakespeare and Quotation. Cambridge: Cambridge University Press.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__11,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
106,52,"Scheirer, W., Forstall, C., & Coffee, N. (2016). The sense of a connection: Automatic tracing of intertextuality by meaning. Digital Scholarship in the Humanities, 31(1), 204–217.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__12,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
107,53,"Smith, T. F., & Waterman, M. S. (1981). Identification of Common Molecular Subsequences. Journal of Molecular Biology, 147, 195–197.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__13,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
108,54,"Taylor, G. (1991). Reinventing Shakespeare: A Cultural History from the Restoration to the Present. Oxford: Oxford University Press.",BURGHARDT_Manuel__The_Bard_meets_the_Doctor____Computergest_.xml__14,“The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who
4,55,"Dörk, Marian / Carpendale, Sheelagh / Williamson, Carey (2011): “The Information Flaneur: A Fresh Look at Information Seeking”, in: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems, 1215-1224.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__0,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
109,56,"Dörk, Marian / Pietsch, Christopher / Credico, Gabriel (2017): “ One view is not enough: High-level visualizations of a large cultural collection ”, in: Information Design Journal, 23:1, 39-47. http://mariandoerk.de/papers/idj2017.pdf",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__1,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
110,57,"Efimova, Svetlana (2018): Das Schriftsteller-Notizbuch als Denkmedium in der russischen und deutschen Literatur. Paderborn: Wilhelm Fink.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__2,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
5,58,"Gfrereis, Heike / Strittmatter, Ellen (eds.) (2013): Zettelkästen. Maschinen der Phantasie. Ausstellungskatalog. Deutsche Schillergesellschaft. Marbach a.N.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__3,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
111,59,"Glinka, Katrin / Pietsch, Christopher / Dörk, Marian (2017): “ Past Visions and Reconciling Views: Visualizing Time, Texture and Themes in Cultural Collections ”, in: Digital Humanities Quarterly 11.2. http://www.digitalhumanities.org/dhq/vol/11/2/000290/000290.html",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__4,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
112,60,"Haber, Peter (2010): “Autorenbibliotheken im digitalen Zeitalter”, in: Quatro. Zeitschrift des Schweizerischen Literaturarchivs 30/31, 39-43.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__5,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
113,61,"Höppner, Stefan / Jessen, Caroline / Münkner, Jörn (eds.) (2018) : Autorschaft und Bibliothek. Sammlungsstrategien und Schreibverfahren. Mit einem Vorwort von Reinhard Laube. Göttingen: Wallstein.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__6,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
114,62,"Hoffmann, Christoph (2008): “Wie lesen? Das Notizbuch als Bühne der Forschung” in: Birgit Griesecke (ed.): Werkstätten des Möglichen 1930-1936: L. Fleck, E. Husserl, R. Musil, L. Wittgenstein, Würzburg: 45-57.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__7,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
115,63,"Knoche, Michael (ed.) (2015): Autorenbibliotheken. Erschließung, Rekonstruktion, Wissensordnung. Wiesbaden: Harrassowitz.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__8,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
116,64,"Krajewski, Markus (2011): Paper Machines. About cards & catalogs, 1548-1929. Cambridge: MIT Press.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__9,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
117,65,"Kreiseler, Sarah / Brüggemann, Viktoria / Dörk, Marian (2017): “Tracing exploratory modes in digital collections of museum web sites using reverse information architecture”, in: First Monday 22.4.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__10,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
6,66,"Moretti, Franco (2013): Distant Reading. London: Verso.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__11,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
118,67,"Perlin, Ken / Fox, David (1993): “Pad: an alternative approach to the computer interface”, in: SIGGRAPH '93: Proceedings of the 20th annual conference on Computer graphics and interactive techniques, 57-64.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__12,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
119,68,"Rasch, Wolfgang (2005): “Zeitungstiger, Bücherfresser. Die Bibliothek Theodor Fontanes als Fragment und Aufgabe betrachtet”, in: Ute Schneider (ed.): Imprimatur. Ein Jahrbuch für Bücherfreunde. N.F. [Bd.] XIX. Wiesbaden: Harrassowitz 103-144.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__13,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
120,69,"Rohmann, Ivonne (2015): “Aspekte der Erschließung und Rekonstruktion nachgelassener Privatbibliotheken am Beispiel der Büchersammlungen Herders, Wielands, Schillers und Goethes”, in: Michael Knoche (ed.), Autorenbibliotheken. Erschließung, Rekonstruktion, Wissensordnung. Wiesbaden: Harrassowitz 17-59.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__14,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
7,70,"Schmidt, Johannes (2016): “Niklas Luhmann´s Card Index: Thinking Tool, Communication Partner, Publication Machine”, in: Alberto Cevolini (ed.): Forgetting Machines. Knowledge Management Evolution in Early Modern Europe. Leiden: Brill 289-311.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__15,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
8,71,"Shneiderman, Ben (1996): “The eyes have it: A task by data type taxonomy for information visualizations”, in: Visual Languages, 1996. Proceedings., IEEE Symposium. IEEE, 336-343.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__16,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
121,72,"Thud, Alice / Hinrichs, Uta / Carpendale, Sheelagh (2012): “The bohemian bookshelf”, in: P roceedings of the SIGCHI Conference on Human Factors in Computing Systems, 1461-1470.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__17,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
9,73,"Weitin, Thomas (2017): “Scalable Reading”, in: Zeitschrift für Literaturwissenschaft und Linguistik 47.1: 1-6. https://doi.org/10.1007/s41244-017-0048-4",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__18,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
122,74,"Wieland, Magnus (2015): “Materialität des Lesens. Zur Topographie von Annotationsspuren in Autorenbibliotheken”, in: Knoche, Michael (ed.) Autorenbibliotheken. Erschließung, Rekonstruktion, Wissensordnung. Wiesbaden: Harrassowitz 147-173.",BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml__19,Skalierbare Exploration. Prototypenstudie zur Visualisierung einer Autorenbibliothek am Beispiel der ›Handbibliothek Theodor Fontanes‹
