,title,book,id
13,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Brückner, Carola / Möhle, Sylvia / Pröve, Ralf / Roschmann, Joachim (1988): Vom Fremden zum Bürger: Zuwanderer in Göttingen 1700-1755. In: Hermann Wellenreuther (Hg.): Göttingen 1690-1755. Studien zur Sozialgeschichte einer Stadt. Göttingen (Göttinger Universitätsschriften. Serie A, Schriften, Bd. 9), S. 88–174.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__1
14,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Bundesanstalt für Arbeit (1988): Klassifizierung der Berufe. Systematisches und alphabetisches Verzeichnis der Berufsbenennungen. Nürnberg. Online verfügbar unter http://statistik.arbeitsagentur.de/Statischer-Content/Grundlagen/Klassifikation-der-Berufe/KldB1975-1992/Generische-Publikationen/KldB1988-Systematischer-Teil.pdf, zuletzt geprüft am 07.06.2016.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__2
15,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Bundesanstalt für Arbeit (2011): Klassifikation der Berufe 2010. Systematischer und alphabetischer Teil mit Erläuterungen. 2 Bände. Nürnberg (1). Online verfügbar unter https://statistik.arbeitsagentur.de/Statischer-Content/Grundlagen/Klassifikation-der-Berufe/KldB2010/Printausgabe-KldB-2010/Generische-Publikationen/KldB2010-Printversion-Band1.pdf, zuletzt geprüft am 07.06.2016.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__3
16,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Ebeling, Dietrich (1987): Bürgertum und Pöbel. Wirtschaft und Gesellschaft Kölns im 18. Jahrhundert. Köln (Städteforschung. Reihe A, Darstellungen, Bd. 26).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__4
17,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Ebner, Jakob (2015) Wörterbuch historischer Berufsbezeichnungen. Berlin u.a.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__5
18,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Fischer, Volker (2000): Stadt und Bürgertum in Kurhessen. Kommunalreform und Wandel der städtischen Gesellschaft 1814-1848. Kassel (Hessische Forschungen zur geschichtlichen Landes- und Volkskunde, 35).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__6
19,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","François, Etienne (1982): Koblenz im 18. Jahrhundert. Zur Sozial- und Bevölkerungsstruktur einer deutschen Residenzstadt. Göttingen (Veröffentlichungen des Max-Planck-Instituts für Geschichte, Bd. 72).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__7
20,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Gerber, Roland (2001): Gott ist Burger zu Bern. Eine spätmittelalterliche Stadtgesellschaft zwischen Herrschaftsbildung und sozialem Ausgleich. Weimar (Forschungen zur mittelalterlichen Geschichte, 39).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__8
21,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Gerholz, Heinrich (2005): Gerholz-Kartei, Eine Sammlung alter Berufsbezeichnungen, Lübeck.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__9
22,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Haemmerle, Albert (1966): Alphabetisches Verzeichnis der Berufs- und Standesbezeichnungen vom ausgehenden Mittelalter bis zur neueren Zeit, (Reprografischer Nachdruck der Ausgabe München 1933), Hildesheim.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__10
23,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Hahn, Hans-Werner (1991): Altständisches Bürgertum zwischen Beharrung und Wandel. Wetzlar, 1689-1870. München (Stadt und Bürgertum, Bd. 2).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__11
24,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Hettling, Manfred (1999): Politische Bürgerlichkeit. Der Bürger zwischen Individualität und Vergesellschaftung in Deutschland und der Schweiz von 1860 bis 1918. Göttingen.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__12
25,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","ILO (1958): International Standard Classification of Occupations. Geneva. Online verfügbar unter http://www.ilo.org/public/libdoc/ilo/1958/58B09_81_engl.pdf, zuletzt geprüft am 31.05.2016.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__13
26,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling",ILO (1969): International Standard Classification of Occupations. Revised Edition 1968. Geneva.,../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__14
27,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","ILO (2004): ISCO-88. Main Objectives. Online verfügbar unter http://www.ilo.org/public/english/bureau/stat/isco/isco88/publ1.htm, zuletzt geprüft am 06.07.2016.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__15
28,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","ILO (2008): Resolution Concerning Updating ISCO 1 Resolution Concerning Updating the International Standard Classification of Occupations. Online verfügbar unter http://www.ilo.org/public/english/bureau/stat/isco/docs/resol08.pdf, zuletzt geprüft am 31.05.2016.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__16
29,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Jägers, Regine (2001): Duisburg im 18. Jahrhundert. Sozialstruktur und Bevölkerungsbewegung einer niederrheinischen Kleinstadt im Ancien Regime (1713-1814). Köln (Rheinisches Archiv, 143).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__17
30,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Kill, Susanne (2001): Das Bürgertum in Münster 1770-1870. bürgerliche Selbstbestimmung im Spannungsfeld von Kirche und Staat. München.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__18
31,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Kroll, Stefan (1997): Stadtgesellschaft und Krieg. Sozialstruktur, Bevölkerung und Wirtschaft in Stralsund und Stade 1700 bis 1715. Göttingen (Göttinger Beiträge zur Wirtschafts- und Sozialgeschichte, Bd. 18).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__19
32,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Krüger, Kersten (1986): Sozialstruktur der Stadt Oldenburg 1630 und 1678. Analysen in historischer Finanzsoziologie anhand staatlicher Steuerregister. Oldenburg.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__20
33,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Laufer, Wolfgang (1973): Die Sozialstruktur der Stadt Trier in der frühen Neuzeit. Bonn (Rheinisches Archiv, 86).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__21
34,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Lundgreen, Margret Kraul; Ditt, Karl (1988): Bildungschancen und soziale Mobilität in der städtischen Gesellschaft des 19. Jahrhunderts. Göttingen.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__22
35,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Manke, Matthias (2000): Rostock zwischen Revolution und Biedermeier. Alltag und Sozialstruktur. Rostock (Rostocker Studien zur Regionalgeschichte, Bd. 1).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__23
36,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Molle, Fritz (1975): Wörterbuch der Berufs- und Berufstätigkeitsbezeichnungen, Wolfenbüttel .",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__24
37,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Müller, Christina (1992): Karlsruhe im 18. Jahrhundert. Zur Genese und zur sozialen Schichtung einer residenzstädtischen Bevölkerung. Karlsruhe (Forschungen und Quellen zur Stadtgeschichte, 1).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__25
38,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Palla, Rudi (2014): Verschwundene Arbeit. Das Buch der untergegangenen Berufe. Wien.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__26
39,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Paulus, Wiebke / Matthes, Britta (2013): Klassifikation der Berufe. Struktur, Codierung und Umsteigeschlüssel. Online verfügbar unter http://doku.iab.de/fdz/reporte/2013/MR_08-13.pdf, zuletzt geprüft am 11.06.2016.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__27
40,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Puchner, Karl / Stadler, Josef Klemens (1935): Lateinische Berufsbezeichnungen in Pfarrmatrikeln und sonstigen orts- und familiengeschichtlichen Quellen, Hirschenhausen (Obby).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__28
41,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Raschke, Helga (2001): Bevölkerung und Handwerk einer thüringischen Residenzstadt. Gotha zwischen 1640 und 1740. 1. Aufl. Jena (Palmbaum Texte. Kulturgeschichte, Bd. 9).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__29
42,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Reith, Reinhold (1991): Lexikon des alten Handwerks. Vom späten Mittelalter bis ins 20. Jahrhundert. München.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__30
43,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Rödel, Walter Gerd (1985): Mainz und seine Bevölkerung im 17. und 18. Jahrhundert. Demographische Entwicklung, Lebensverhältnisse und soziale Strukturen in einer geistlichen Residenzstadt. Stuttgart (Geschichtliche Landeskunde, Bd. 28).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__31
44,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Sachse, Wieland (1987): Göttingen im 18. und 19. Jahrhundert. Zur Bevölkerungs- und Sozialstruktur einer deutschen Universitätsstadt. Göttingen (Studien zur Geschichte der Stadt Göttingen, Bd. 15).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__32
45,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Schüren, Reinhard (1989): Soziale Mobilität. Muster, Veränderungen und Bedingungen im 19. und 20. Jahrhundert. St. Katharinen.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__33
46,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Schüren, Reinhard (1989): Soziale Mobilität: Muster, Veränderungen und Bedingungen im 19. und 20. Jahrhundert. St. Katharinen.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__34
47,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Statistisches Bundesamt (1992): Klassifikation der Berufe 1992 (KldB 92). Gliederungsstruktur bis zur 4 Steller-Ebene. Stuttgart: Metzler-Poeschel. Online verfügbar unter https://www.destatis.de/DE/Methoden/Klassifikationen/Berufe/klassifikationkldb92_4st.pdf?__blob=publicationFile, zuletzt geprüft am 06.06.2016.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__35
48,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Straubel, Rolf (1995): Frankfurt (Oder) und Potsdam am Ende des Alten Reiches. Studien zur städtischen Wirtschafts- und Sozialstruktur. 1. Aufl. Potsdam (Quellen und Studien zur Geschichte und Kultur Brandenburg--Preussens und des Alten Reiches, Bd. 2).",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__36
49,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Ulm-Sanford, Gerlinde (1975): Wörterbuch von Berufsbezeichnungen aus dem siebzehnten Jahrhundert, gesammelt aus den Wiener Totenprotokollen der Jahre 1648 - 1668 und einigen weiteren Quellen, Bern 1975.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__37
50,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","van Leeuwen, Marco H.D. / Maas, Ineke / Miles, Andrew (2002): Historical international standard classification of occupations. Leuven.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__38
51,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Weichel, Thomas (1993a): Die Berufsstruktur der Städte - erste Ergebnisse und Vergleiche. In: Lothar Gall (Hg.): Stadt und Bürgertum im Übergang von der traditionalen zur modernen Gesellschaft. München (Historische Zeitschrift. Beihefte, n.F., Bd. 16), S. 51–74.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__39
52,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Weichel, Thomas (1993b): Die Bürger in ihrer beruflichen und sozialen Stellung. In: Lothar Gall (Hg.): Stadt und Bürgertum im Übergang von der traditionalen zur modernen Gesellschaft. München (Historische Zeitschrift. Beihefte, n.F., Bd. 16), S. 93–103.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__40
53,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Weichel, Thomas (1997): Die Bürger von Wiesbaden. von der Landstadt zur ""Weltkurstadt"", 1780 1914. München.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__41
54,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"Alpaydin, Ethan (2016): Machine Learning, Cambridge, Massachusetts: MIT Press.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__0
55,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"Berry, David M. (2011): „The Computational Turn: Thinking about the Digital Humanities“, in: Culture Machine 12: 1–22.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__1
56,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"Berry, David M. (2011): The Philosophy of Software. Code and Mediation in the Digital Age , New York: Palgrave Macmillan.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__2
57,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"Fuller, Matthew (2008): Software Studies. A Lexicon , Cambridge, Massachusetts: MIT Press.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__3
58,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"Holzki, Larissa (2017): „Frauen sind im Netz schwieriger zu finden“, , Stand: 24.09.17.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__4
59,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"Lemire, Daniel (2016): „Is software a neutral agent?“, , Stand: 24.09.17.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__5
60,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"Manovich, Lev (2001): The Language of New Media , Cambridge, Massachusetts: MIT Press.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__6
61,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"Maschewski, Felix / Nosthoff, Anna-Verena (2017): „Das Netz ist nie neutral“, , Stand: 24.09.17.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__7
62,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"O’Neil, Cathy (2016): Weapons of Math Destruction , New York: Broadway Books.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__8
63,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"Ringen, Lisa (2017): „Dummer Algorithmus: Als Frau bei Xing gefunden werden“, , Stand: 24.09.17.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__9
64,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"Searle, John R. (1975): Expression and Meaning. Studies in the Theory of Speech Acts . Cambridge: Cambridge University Press.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__10
65,Realität programmieren? Zum Einfluss von Algorithmen auf die Wirklichkeit,"Zhao, Jieyu / Wang, Tainlu / Yatskar, Mark / Ordonez, Vicente / Chang, Kai-Wei (2017): „Men Also Like Shopping: Reducing Gender Bias Amplification using Corpus-level Constraints“, , Stand: 01.01.18.",../dhd_2018/TEI/PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml__11
66,Ist kooperativ jetzt umsonst? Die Ausweisung von Datenautorenschaft als neue Form wissenschaftlicher Reputation zur Förderung offener Forschungsdatenkulturen,"AG Datenzentren des DHd (2017): Stellungnahme der DHd AG Datenzentren und des DHd-Verbands zur Nationalen Forschungsdateninfrastruktur (NFDI), URL: http://dig-hum.de/sites/dig-hum.de/files/DHd_NFDI_Stellungnahme_2017-07-31.pdf [letzter Zugriff 22. September 2017].",../dhd_2018/TEI/MOELLER_Katrin_Ist_kooperativ_jetzt_umsonst__Die_Ausweisung_.xml__0
67,Ist kooperativ jetzt umsonst? Die Ausweisung von Datenautorenschaft als neue Form wissenschaftlicher Reputation zur Förderung offener Forschungsdatenkulturen,"Bundesministerium der Justiz und für Verbracherschutz (2013): Gesetz über Urheberrecht und verwandte Schutzrechte, in: Juris, URL: https://www.gesetze-im-internet.de/urhg/index.html#BJNR012730965BJNE023100377 [letzter Zugriff 22. September 2017].",../dhd_2018/TEI/MOELLER_Katrin_Ist_kooperativ_jetzt_umsonst__Die_Ausweisung_.xml__1
68,Ist kooperativ jetzt umsonst? Die Ausweisung von Datenautorenschaft als neue Form wissenschaftlicher Reputation zur Förderung offener Forschungsdatenkulturen,"Deutsche Forschungsgemeinschaft (2013): Sicherung guter wissenschaftlicher Praxis. Denkschrift, Empfehlungen der Kommission ""Selbstkontrolle in der Wissenschaft"", Weinheim 2013, URL: http://www.dfg.de/download/pdf/dfg_im_profil/reden_stellungnahmen/download/empfehlung_wiss_praxis_1310.pdf [letzter Zugriff 22. September 2017].",../dhd_2018/TEI/MOELLER_Katrin_Ist_kooperativ_jetzt_umsonst__Die_Ausweisung_.xml__2
69,Ist kooperativ jetzt umsonst? Die Ausweisung von Datenautorenschaft als neue Form wissenschaftlicher Reputation zur Förderung offener Forschungsdatenkulturen,"Martin Jehne (2009): Publikationsverhalten in der Geschichtswissenschaft, in: Alexander von Humboldt Stiftung (Hg.), Publikationsverhalten in unterschiedlichen wissenschaftlichen Disziplinen. Beiträge zur Beurteilung von Forschungsleistungen 12, 2. erw. Auflage, S. 59-61, URL: https://www.humboldt-foundation.de/pls/web/docs/F13905/12_disk_papier_publikationsverhalten2_kompr.pdf [letzter Zugriff 22. September 2017].",../dhd_2018/TEI/MOELLER_Katrin_Ist_kooperativ_jetzt_umsonst__Die_Ausweisung_.xml__3
